"title","location","jobType","description"
"Senior Events Manager with S.A.F.E. Management of Florida","Jacksonville, FL","Facility Operations/Event Staff: Facility/Venue Management","S.A.F.E. Management of FloridaSenior Events ManagerBased in Jacksonville, FLOversee and prepare for events at some or all of the following venues:TIAA Bank Field 
Vystar Veterans Memorial Arena
Daily’s Place Amphitheatre
Prime Osborn Convention Center 
Times-Union Center for Performing Arts
Florida Theatre 
Ben Hill Griffin Stadium (UF) 
 Responsibilities include but are not limited to: 
Lead full-time team of managers and coordinators to successfully complete all tasks and events
Manage and build relationships with key clients
Drive process improvements impacting company-wide results
Event Preparation and Reconciliation 
Represent S.A.F.E. Management to clients and venue leadership 
Develop and/or review the staffing plans for each event based on client needs and venue protocols 
Schedule part-time team members with focus on providing experience and quality service to clients 
Create crew calls, leadership deployments, event notes & post orders for assigned events 
Prepare all necessary event equipment, transportation and supplies for leadership and staff 
Facilitate Time Keeping & Event Reconciliation 
Develop invoices for payment of assigned events 
Event Operations:Lead security and guest services operation of 30-250 part-time team members for events at Vystar Veterans Memorial Arena, Daily’s Place Amphitheatre, Ben Hill Griffin Stadium, and other venues as needed 
Provide event briefings to Supervisors and/or staff 
Provide direction and quality control to part-time team members to ensure client expectations are met 
Work with client’s event manager and other key partners to run world class events 
TIAA Bank Stadium Major Events: Assist in the scheduling and preparation for full stadium events
Play leadership and oversight role on event day in check-in and event operations
Post-event assist with timekeeping reconciliation and incident follow-up
Assist with Advertising, Recruitment, Onboarding & Training: Build advertisements, requisitions, schedule interviews & trainings 
Conduct portions of the training programs 
Facilitate transition from applicant to current S.A.F.E. team member 
 Work Schedule: General office hours are Monday through Friday, 9:00 a.m. to 5:00 p.m. with some flexibility based on workload and hours worked outside of normal office hours 
Office hours may be adjusted due to evening/weekend events, appointments or other obligations 
Personal time off/vacation based on work load and schedule, and ensuring office continuity 
 Ensure that the S.A.F.E. standards outlined in the S.A.F.E. handbooks, training materials and event notes, as well as our mission statement, is being met and exceeded by yourself and all staff working at events for which you are responsible: Communicating correct information 
Promoting of a professional image 
Creating and maintaining an enjoyable and safe environment 
We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status, or any other characteristic protected by law."
"Director Of Operations  with Pro Em National Event Services ","Phoenix, AZ","Facility Operations/Event Staff: Construction Project Management","Job Summary:The Director of Operations is responsible for leading, optimizing, and increasing the organizational capability and effectiveness to provide the most reliable products and services within the event rental industry. You will ensure reliability by delivering all inventory to all event sites the first time on time in good condition installed correctly in a timely fashion. Upon completion of all events the inventory will be removed from the event site on time in one trip and returned to the warehouse in the same condition it was delivered to the event. Managing the reliability of the company will ensure all customer expectations are met through execution of quality control, inventory control, training, safety, fleet management and labor management.Summary Of Job Responsibilities:Inspire and motivate a team of 150+ Project Managers, Asset Managers, Dispatchers, Installers, Crew Leads, Fleet Techs, Power Generation Techs, and Warehouse Staff.
Develop and drive a continuous improvement culture throughout the organization and hold the team accountable to achieving measurable improvements upon existing standards.
Manage the accuracy and quality of all equipment loaded for delivery and returned to the warehouse including quality control to ensure equipment is cleaned, repaired and returned to stock.
Implement changes to develop, manage, and evaluate processes that ensure reliability and successful execution of events.
Accurately manage all inventory to ensure quality of product and trustworthy data within the ERP.
Oversight of all pulling, staging, loading, unloading, and return to stock for all departments including Tenting, Tables, Chairs, Staging, Flooring, Portable Restrooms, and Power Generation.
Maintain cleanliness and upkeep of all facilities, yards, and fleet.
Provide cost-analysis for equipment purchases and repairs.
Work within designated Operations Labor and Non-Labor COGS budget to control sub rentals and consumable supplies through proactive management.
Interface with Account Executives, Project & Event Managers and Management Team to ensure all paperwork and documentation is given to the appropriate staff and completed as outlined within SOP’s.
Job Requirements:Minimum of 5 years’ experience in Management, Warehousing, Distribution, Dispatching, and Inventory Control
Demonstrated results building, maintaining and improving reliable products and services that meet and exceed customer expectations.
Strong interpersonal and leadership skills
Strong focus on accountability and logistics
Excellent customer service and ability to communicate with all levels of the organization
Spanish bilingual communication skills a plus

We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status, or any other characteristic protected by law."
"Project Manager  with PartyTime- HDO Productions Inc.","Niles , IL","Facility Operations/Event Staff: Construction Project Management","
Project ManagerPRO EM, a full-service event management company that provides services for all sized events and commercial and construction projects, is currently seeking a Project Manager. Applicants should demonstrate the capability of establishing a rapport with the client and confidence in our Product/Services while coordinating and managing events, also to trouble-shoot potential problems and rectify existing problems at event sites. Familiarity with the event industry and excellent customer service is highly preferred.Job Responsibilities:Responsible for preparing all pre-event documentation and coordinates with Sales and Clients to ensure consistent, high level service throughout event and post-event phases.
Fill out post event after action reports.
Recognizes opportunities to maximize revenue opportunities by up-selling and refer all suggestions to Sales or Senior Project Manager offering enhancements to create outstanding events.
Plan and execute events that fulfill PRO EM’s objectives.
Working with timelines, planning and project management will be a common feature of work to ensure all event deadlines are met.
Creation of load lists and timelines to be shipped to an event in good time, working with asset managers.
Recommend staffing needs to Operations Manager.
Managing field crew to ensure setup and take down in an efficient manner.
Maintaining the highest level of service and exceeding Clients expectations.
Responsible for providing all contract updates and changes in detail to Sales and Senior Operations Assistant for events assigned.
Provide constructive feedback and possible solutions for challenges faced at the job site.
Creating a positive Team atmosphere in office and on-site.

Job Requirements:
Must have strong people-focused element to this role by liaising with event contributors, venues, vendors and partners.
Previous experience in event management.
Experience of working in a fast-paced, high pressured environment
Excellent oral and written communication skills
Ability to handle and own multiple projects
Pro-active and shows initiative
Familiarity of Word and Excel.
Ability to work well under pressure
Willingness to undertake a wide range of tasks to its end.
Ability to travel and be out of town for multiple weeks at a time.
Flexibility, working on weekends and evenings
Fluent in Spanish is preferred

We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status, or any other characteristic protected by law."
"Senior Accountant  with Pro Em National Event Services ","Phoenix, AZ","Accounting and Finance: Accounting/Finance other","Job Summary:The Senior Accountant will also be responsible for maintaining and complying with accounting policies and procedures that ensure the highest level of efficiency while maintaining appropriate internal controls and compliance with US GAAP. The Senior Accountant will participate in the day to day accounting functions well as the month-end close process - creating journal entries, reviewing revenue recognition entries, job cost analysis and maintaining the integrity and accuracy of the general ledger (including subledger to ledger reconciliations and account reconciliations).Responsibilities:Manage general ledger accounting and month end close for 3 locations.
Perform account analysis and reconciliations particularly bank accounts and intercompany accounts.
Prepare financial statement analysis and preparation of monthly financial statements for presentation to Senior Management.
Ensure Financial Statements are completed in an accurate, timely and efficient manner.
Research, analyze, and report on financial and accounting inquiries for the division.
Supports AR & AP functions during peak season.
Guides employee actions by researching, developing, writing, and updating policies and procedures.
Assist in developing accurate job cost analysis and present to Senior Management.
Identify improvements to current processes surrounding General Ledger, AR and AP.
Communicate with other business functions with financial results, variance analysis and provide solutions to any problems identified.
Assist with internal & external audit requests, work with auditors to provide support and resolve issues timely.
Maintain dataset of results and key performance indicators by entering, verifying and backing up data, ensuring the highest level of data integrity.
Requirements:Bachelor’s Degree in Accounting or Finance required
Minimum of 3-5 years of progressive accounting experience
Ability to grasp understanding of business models quickly and independently
Demonstrated ability to make effective presentations.
Ability to interact effectively with all levels of management and personnel
Demonstrated proficiency with Advanced Excel, Access skills, and PowerPoint
Sage Intacct experience or another ERP
Prior success thinking creatively and working with a sense of urgency in achieving objectives
Demonstrated organizational and time management skills and the ability to prioritize assignments and work effectively under time constraints
Thorough knowledge and understanding of US GAAP
Thorough planning and organization skills with great attention to detail
Strong research and analysis skills
Ability to adapt quickly and learn new tasks independently
Excellent verbal and written communication skills
Strong interpersonal skills with the ability to give and receive constructive feedback and the ability to interact and partner with people at all levels and locations
SALARY DOE

We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status, or any other characteristic protected by law."
"Financial Analyst with Pro Em National Event Services ","Phoenix, AZ","Accounting and Finance: Accounting/Finance other","
Job Summary:The Financial Analyst will be responsible for analyzing financial statements and predicting the future performance of the company whilst maintaining and complying with accounting policies and procedures that ensure the highest level of efficiency, appropriate internal controls, and compliance with US GAAP.  The Financial Analyst will participate in routine activities, but not limited to, such as keeping track of company’s financial plan, analyzing the company’s performance alongside changes and market trends.Summary Of Job Responsibilities:Financial Reporting:Utilize knowledge of the company and industry to prepare financial analysis on key operating results.
Prepare month end variance analysis on financial results.
Monitor and investigate gross margin variances/trends of open and closed events.
Budgeting/Forecasting:Provide timely, accurate and insightful reporting and analysis on monthly and quarterly results against budget, plan, forecasts and prior year.
Gather and integrate significant financial data necessary for a financial plan.
Support Finance Leads to prepare the annual sales and operating plan, monthly financial statement, periodic forecast, and analyze/explain actual performance against plan/ forecast.
Support the development of all aspects of the annual financial plan by working with managers across the organization.
Investigate, analyze and help develop solutions to address variances to plan.
Assists Division leads and Finance leads with special projects related to profitability, business planning and decision making.
Reviews performance against the plan and identifies improvement opportunities.
Operational Support:Create financial models and analysis to support strategic initiatives, identify trends, risks and potential areas for improvement. Examples Weekly Revenue Reports and Weekly Flash Reports, Job Costing, Internal resource planning and monitoring.
On-going review of planned costs for accuracy and consistency.
Identify and monitor key performance indicators specific to individual departments and provide high impact analysis to department managers. Examples Inventory use or frequency of use.
Other Responsibilities:Support Chief Financial Officer and other business leaders on special projects as required.
Collaborate with IT Solution Analysts and Corporate financial reporting team in improving reporting and system applications.
Ad hoc analysis to meet divisional and corporate needs.

Job Requirements: Bachelor’s Degree in Accounting or Finance required
Minimum of 3-4 years of progressive accounting experience preferred
Ability to grasp understanding of business models quickly and independently
Successful candidates need to have a demonstrated track record of positive results related to Financial Acumen, Competitive Analysis, Strategic Planning and Business Operations. Additionally, needs to demonstrate an understanding of key metrics that supports a successful team.
Must have a strong background in financial analysis and modeling. 
Must be able to prioritize, multitask as well as work independently
Must be able to maintain quality of work and at the same time meet multiple deadlines as required
Ability to co-exist in a team
Must be a strong communicator coupled with the ability to maintain open communication with customers, internal employees and managers as needed
Demonstrated proficiency with Advanced Excel, Access skills, PowerPoint, and financial software applications
Thorough knowledge and understanding of US GAAP
Thorough planning and organization skills with great attention to detail
Excellent verbal and written communication skills
Strong interpersonal skills with the ability to give and receive constructive feedback and the ability to interact and partner with people at all levels and locations

We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status, or any other characteristic protected by law."
"Account Executive with PRO EM National Event Services","Phoenix, AZ","Marketing: Sales & Marketing Management","The PRO EM Family of Companies is in search of an experienced full-time, Account Executive in the Phoenix area. Candidates must be professionals who are friendly, outgoing, ambitious, and self-motivated. This is a fantastic opportunity for an enthusiastic, high-energy, team player who is detail oriented, loves to sell, and is driven to be the best while exceeding our clients' expectations every step of the way! The Account Executive is a sales position responsible for Developing, Qualifying and Closing new business.This position has a BASE SALARY PLUS COMMISSIONJob Responsibilities:Identify business opportunities by identifying prospects and evaluating their position in the industry; research and analyze sales opportunities.
Establish new accounts by conducting cold calls, approaching prospective customers through face-to-face interaction; respond to qualified referrals, and follow-up to build/expand the sales territory.
High level of customer service standards.
Establish rapport with potential customers through effective communication and product knowledge to generate opportunities for revenue growth.
Contact clients to ensure ongoing satisfaction, increase sales through cross-selling, up-selling and add-on sales.
Highlight product features and benefits, quote prices, discuss payment terms, and prepare sales order forms.
Meet personal and company goals while working efficiently with other members of the organization.
Keeps management informed by submitting activity reports, weekly plan of action, and monthly territory analysis.
Remain current on product knowledge and consumer preferences.
Monitors completion by gathering information on pricing, product, and new products.
Resolve issues with customers that result in positive feedback and improves business relationships.
Maintain quality of service by following organizational standards.
Job Requirements:Minimum of three years of Sales (or relevant) experience, preferably in the Event Rental Industry, DMC Industry, Catering Sales industry, Event Management/Production Industry, Hotel/Resort Group Industry, Venue Space Sales or Management Industry, or Trade Show Sales Industry. PRO EM will consider outside sales experience from other industries.
Experienced Customer Service professional.
Business Development experience.
Ability to research and qualify new opportunities
Astute Closing skills.
Strategic territory planning and management.
Highest standards of ethics and integrity.
Negotiation skills.
High level of self-confidence.
Product knowledge.
Detail oriented.
Presentation skills.
Highly energetic with the motivation to sell.
High level of persuasiveness.
Can work independently in an Outside Sales setting.
Demonstrated history of outstanding professional sales achievements that aligned with corporate goals.
Excellent verbal and written communication skills.
Proficiency in using personal computer and inventory control software.

We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status, or any other characteristic protected by law."
"Account Executive with Partytime HDO Operations, LLC","Niles, IL","Marketing: Sales & Marketing Management","The PRO EM Family of Companies is in search of an experienced full-time, Account Executive in the Great Chicago area. Candidates must be professionals who are friendly, outgoing, ambitious, and self-motivated. This is a fantastic opportunity for an enthusiastic, high-energy, team player who is detail oriented, loves to sell, and is driven to be the best while exceeding our clients' expectations every step of the way! The Account Executive is a sales position responsible for Developing, Qualifying, and Closing new business.This position has a BASE SALARY PLUS COMMISSIONJob Responsibilities:
Identify business opportunities by identifying prospects and evaluating their position in the industry; research and analyze sales opportunities.
Establish new accounts by conducting cold calls, approaching prospective customers through face-to-face interaction; respond to qualified referrals, and follow-up to build/expand the sales territory.
High level of customer service standards.
Establish rapport with potential customers through effective communication and product knowledge to generate opportunities for revenue growth.
Contact clients to ensure ongoing satisfaction, increase sales through cross-selling, up-selling and add-on sales.
Highlight product features and benefits, quote prices, discuss payment terms, and prepare sales order forms.
Meet personal and company goals while working efficiently with other members of the organization.
Keeps management informed by submitting activity reports, weekly plan of action, and monthly territory analysis.
Remain current on product knowledge and consumer preferences.
Monitors completion by gathering information on pricing, product, and new products.
Resolve issues with customers that result in positive feedback and improves business relationships.
Maintain quality of service by following organizational standards.
Job Requirements:Minimum of three years of Sales (or relevant) experience, preferably in the Event Rental Industry, DMC Industry, Catering Sales industry, Event Management/Production Industry, Hotel/Resort Group Industry, Venue Space Sales or Management Industry, or Trade Show Sales Industry. PRO EM will consider outside sales experience from other industries.
Experienced Customer Service professional.
Business Development experience.
Ability to research and qualify new opportunities
Astute Closing skills.
Strategic territory planning and management.
Highest standards of ethics and integrity.
Negotiation skills.
High level of self-confidence.
Product knowledge.
Detail oriented.
Presentation skills.
Highly energetic with the motivation to sell.
High level of persuasiveness.
Can work independently in an Outside Sales setting.
Demonstrated history of outstanding professional sales achievements that aligned with corporate goals.
Excellent verbal and written communication skills.
Proficiency in using personal computer and inventory control software.

We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status, or any other characteristic protected by law."
"Account Executive with PRO EM National Event Services","Tucson, AZ","Marketing: Sales & Marketing Management","The PRO EM Family of Companies is in search of an experienced full-time, Account Executive in the Tucson area. Candidates must be professionals who are friendly, outgoing, ambitious, and self-motivated. This is a fantastic opportunity for an enthusiastic, high-energy, team player who is detail oriented, loves to sell, and is driven to be the best while exceeding our clients' expectations every step of the way! The Account Executive is a sales position responsible for Developing, Qualifying and Closing new business.This position has a BASE SALARY PLUS COMMISSIONJob Responsibilities:Identify business opportunities by identifying prospects and evaluating their position in the industry; research and analyze sales opportunities.
Establish new accounts by conducting cold calls, approaching prospective customers through face-to-face interaction; respond to qualified referrals, and follow-up to build/expand the sales territory.
High level of customer service standards.
Establish rapport with potential customers through effective communication and product knowledge to generate opportunities for revenue growth.
Contact clients to ensure ongoing satisfaction, increase sales through cross-selling, up-selling and add-on sales.
Highlight product features and benefits, quote prices, discuss payment terms, and prepare sales order forms.
Meet personal and company goals while working efficiently with other members of the organization.
Keeps management informed by submitting activity reports, weekly plan of action, and monthly territory analysis.
Remain current on product knowledge and consumer preferences.
Monitors completion by gathering information on pricing, product, and new products.
Resolve issues with customers that result in positive feedback and improves business relationships.
Maintain quality of service by following organizational standards.
Job Requirements:Minimum of three years of Sales (or relevant) experience, preferably in the Event Rental Industry, DMC Industry, Catering Sales industry, Event Management/Production Industry, Hotel/Resort Group Industry, Venue Space Sales or Management Industry, or Trade Show Sales Industry. PRO EM will consider outside sales experience from other industries.
Experienced Customer Service professional.
Business Development experience.
Ability to research and qualify new opportunities
Astute Closing skills.
Strategic territory planning and management.
Highest standards of ethics and integrity.
Negotiation skills.
High level of self-confidence.
Product knowledge.
Detail oriented.
Presentation skills.
Highly energetic with the motivation to sell.
High level of persuasiveness.
Can work independently in an Outside Sales setting.
Demonstrated history of outstanding professional sales achievements that aligned with corporate goals.
Excellent verbal and written communication skills.
Proficiency in using personal computer and inventory control software.

We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status, or any other characteristic protected by law."
"Vice President of Sales with Norfolk Admirals","Norfolk, VA","Ticket Sales and Services: Ticket Sales Management","WHY THIS POSITION The Norfolk Admirals rebuild accomplished many successes last season and will add to its leadership team to focus our direction on accelerated growth while returning to our pedigree consisting of decades of glory on the ice and in the stands.  We’re looking for someone to lead the key revenue areas of ticket sales and sponsorship sales for the team and ramp up success. It’s a unique opportunity to put your stamp on what will be a tremendous turnaround over the next few years. 
OWNERSHIP With new fully committed ownership last Season, the Admirals made great strides and have assembled an outstanding staff that is highly motivated to take the Admirals to the next level.  With the Covid-19 pandemic and new challenges the Professional sports industry faces, the Admirals seek a creative, highly qualified leader in Sales to drive revenue while cultivating our sales team and establishing a culture of collective betterment for all. HERE’S WHAT YOU’LL BE DOING:We need a top level executive with experience in ticket sales and sponsorship sales as those are our two most important revenue streams.  Here are some of your responsibilities:Ticket Sales and MarketingOversee and manage the ticket sales staff on a day to day basis.
Lead the development of ticket sales strategy, sellout strategy, group and season ticket strategy for the team and oversee implementation.
Oversee a Marketing Director’s efforts to drive single game ticket sales and online ticket package sales through email marketing and digital advertising strategy.
Guide the ticket operations department including customer service and ticket fulfillment processes.
Sponsorship SalesLead the team’s sponsorship sales efforts.  You’ll be the top sponsorship salesperson going out on all the major sponsorship sales calls.
Oversee a junior sponsorship salesperson and guide, train and coach them to success selling some of the team’s smaller packages.
Guide and direct sponsorship fulfillment and activation overseeing a fulfillment person.
Community RelationsOversee a Community Relations Manager to develop community focused programs to get the team visibility in the community as well as help drive ticket and sponsorship revenue. ARE YOU QUALIFIED?Our ideal executive is someone with a minimum 5 years of experience in ticket and sponsorship sales with a team, venue or college.  If you have that type of experience and a proven track record of increasing revenue in those two categories, we want to talk to you. HOW WILL YOU GET PAIDWe’ll pay you a competitive salary based on your experience and a percentage of the increase in revenue.  Have no doubt that for the right person, we’ll make sure you’re well taken care of.  You’ll also receive health insurance coverage. WHAT DOES THE FUTURE HOLDOwnership is looking for this position to evolve into the leader of the business side of the franchise and are focused on bringing the Admirals to a goal standard operation.  With hard work and success in tickets and sponsorships, the right candidate can position themselves for additional leadership advancement in the future. "
"Event Security - Chase Center with Allied Universal Event Services ","San Francisco, CA","Facility Operations/Event Staff: Security","Job Description:This position is responsible for checking bags, enforcing access control and implementing policies and procedures for the safety of the guests and owners, while providing superior customer service for the best guest experience. 
ESSENTIAL JOB DUTIES AND RESPONSIBILITIES: Those duties necessary to meet the minimum requirements of the position. Other duties may be assigned.Assists in all aspects of event day preparation and execution.
Allows appropriate entry into each venue, may collect and/or scan tickets, verify wristbands and badges, direct traffic coming in and out of the venue.
Screens guests during entry via bag searching, hand wand or metal detector, and ID verification.
Protects guests, staff, and venue ownership group assets by watching for security breaches at vital checkpoints.
Responds quickly to potential crowd control issues and provides escorts for unruly guests when ejections are warranted.
Demonstrates an understanding of the policies, procedures and regulations of different venues, facilities and events.
Initiates a genuine, friendly and personal greetings to our guests as they arrive at your facility entrance, aisle, concourse area or other location and a sincere thanks as you complete your encounter with each guests.
Provides guests with helpful directions and/or suggestions that will enhance their entertainment experience.

QUALIFICATIONS: To perform this job successfully, the individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skills, and/or experience required. Reasonable accommodation may be made to enable individuals with disabilities to perform the essential functions.Must be 18 years of age or older.
Must have a high school diploma (or equivalent).
Valid guard card/license, as required in the state for which you are applying. 
As a condition of employment, employee must successfully complete a background investigation and a post-offer/pre-employment drug/alcohol test and may be required to pass a Driver’s Record check.
Be professional, articulate and able to use good independent judgment and discretion.
Must be able to work overtime as needed.
Outstanding verbal and written communication skills required.
Ability to successfully interact at all levels of the organization, including with clients, while functioning as a team player required.

We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status, or any other characteristic protected by law."
"Baseball Camp Coach and Evaluator with College Sports Evaluation ","See locations","Player Operations: Baseball - Manager","We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status, or any other characteristic protected by law.College Sports Evaluation is seeking coach/evaluators in AZ, TN, AL, GA, TX and So Cal.If you are a current, former or retired college baseball coach, with 7 years or equivalent experience, you may be a fit to work CSE camps. Each year we conduct 16-20 camps in each of our markets.CSE is an event based business bringing high school players together for skill and performance testing and an evaluation by college coaches. Our purpose is to provide a qualified, trusted answer to the large, under-served market of families with high school aged athletes aspiring to play baseball in college and unable to determine their college level fit.To learn more about CSE, go to CSEVAL.com.   "
"Head of Sales - West Region with BESTofLEGACY","West Region","Ticket Sales and Services: Ticket Sales","
This role has significant travel and you will work from home office when not traveling.BESTofLEGACY (www.BESTofLEGACY.com) serves pro athletes, primarily from the four majors, by collecting their best press clippings+highlights and transforming the content into a high-end memory book for the player and his family to enjoy.We have awesome access to the athletes at the team level and the job is to travel to them and present our product, then close the deals over the phone soon thereafter.  We're a 15 year old company with hundreds of clients already, so credibility is established and it's a fun product to sell.We're seeking a new Western Region Head of Sales, who works directly with the professional athletes and their spouses.  Since we're a small company with a small sales force, this role is incredibly important to us; you'll be the face of the company.It is imperative the person we hire possesses the following attributes (no particular order):
At least 2 years full time sales experience (strongly prefer outside sales). 
Smart
Presents self well in public
Highly organized
High sports IQ in all four majors
Hungry and self-motivated
Aggressive
Communicates well via email and text
Strong grammar skills
Proven track record in sales (outside strongly preferred)
Business development experience is very helpful but hard-core sales experience is a 100% must for this role
Willingness to travel frequently
Able to keep travel budget in checkPlease only apply if you possess all of the attributes listed above.  NO exceptions will be made. Also, will only consider candidates whom answer the three questions listed in this posting.  Strong preference to applicants with significant sales experience within a major pro sports team.
Home Base:Will consider candidates already living in Chicago, Las Vegas, Dallas, Phoenix, Denver, LA, and San Francisco Bay Area.  Please only apply if you already live in one of the cities listed above.Compensation & Benefits:$65K base plus generous commission structure that takes this job to $120K++  
We provide cell phone and laptop, but not health insurance. You'll work from home office when not traveling. 
We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status, or any other characteristic protected by law. "
"2020 GAMEDAY - Entry Gate Ticket Scanners with Houston Texans","Houston, TX","Facility Operations/Event Staff: Game Day/Event Staff","The Houston Texans are looking for dynamic individuals who subscribe to the Club's core ideals such as character, hard work, discipline and teamwork. We are currently seeking candidates to fill this part-time position for our 2020 season gamedays.
Title:  Gameday – Entry Gate Scanners  FLSA Status:  Hourly, Non-exempt  Department:  Ticketing  Reports to:  Senior Director of Ticket Services  
Education:  High school diploma required. 
Ticketing or general sales experience preferred.  

Skills Required:   Possess effective technological skills 
Possess ability to learn new systems and procedures quickly 
Possess high energy level and be self-motivated and service-oriented. 
Willingness to engage with season ticket members on gameday. 
Possess effective verbal and interpersonal communication skills. 
Possess effective organizational skills. 
Ability to maintain confidential and/or proprietary information. 
Job may require walking around and standing for prolonged periods of time in various Club premises in and around NRG Stadium and NRG Park, as may be assigned.   

Basic Function:   Scan both mobile and printed tickets at their assigned gate.  Job Requirements:   Be able to scan all ticket types 
Be able to utilize their assigned ticket scanner 
Assist the Senior Director of Ticket Services with box office issues or other ticket-related problems that arise on gameday. 
Provide exceptional guest services to all guests. 
Perform various other tasks that may be assigned from time to time by the Senior Director of Ticket Services or other ticketing department staff members. 
Position requires routine face-to-face personal interaction with other Club personal; therefore, job responsibilities must be physically performed in the Club officers and/or various other Club premises in NRG Park as may be assigned and not in a telecommuting matter.  

This is a part-time job that will require you to work all ten (10) Houston Texans home games for the 2020 football season in addition to other various Club-sponsored hospitality and/or VIP events as assigned.This position requires a flexible weekend schedule and attendance at all (10) 2020 Houston Texans season home games.Please note that while resumes of all candidates will be considered, as a way for the Texans organization to acknowledge and reciprocate the tremendous support given the Team by local fans and the local community in general, qualified candidates with permanent addresses in the Houston metropolitan and surrounding areas will be given first consideration whenever possible.
 If your skills and experience match our available position requirements, a Human Resources representative will contact you directly. Due to the volume of resumes received by the Houston Texans, we are unable to provide updates on the status of individual applications.We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status, or any other characteristic protected by law."
